,Race,Reading Ease
fpn-ball-ball.xml,B,46.41
fpn-brownw-brown.xml,B,67.22
fpn-bruce-bruce.xml,B,49.42
fpn-burton-burton.xml,B,66.3
fpn-burtont-burton.xml,B,56.42
fpn-edwards-edwards.xml,B,60.79
fpn-ferebee-ferebee.xml,B,73.61
fpn-grandy-grandy.xml,B,69.75
fpn-hortonlife-horton.xml,B,51.45
fpn-hortonpoem-hortonpoem.xml,B,29.26
fpn-hughes-hughes.xml,B,71.58
fpn-jackson-jackson.xml,B,61.74
fpn-jacobs-jacobs.xml,B,76.35
fpn-jones-jones.xml,B,48.17
fpn-lane-lane.xml,B,63.43
fpn-mason-mason.xml,B,73.21
fpn-moton-moton.xml,B,56.93
fpn-negnurse-negnurse.xml,B,60.82
fpn-negpeon-negpeon.xml,B,71.48
fpn-northup-northup.xml,B,60.89
fpn-robinson-robinson.xml,B,65.9
fpn-steward-steward.xml,B,49.93
fpn-veney-veney.xml,B,64.78
fpn-washeducation-washing.xml,B,49.42
fpn-washington-washing.xml,B,56.52
fpn-williams-williams.xml,B,69.55
nc-jones85-jones85.xml,B,75.84
neh-dsmith-dsmith.xml,B,65.35
neh-jonestom-jones.xml,B,70.77
fpn-pickens-pickens.xml,M,57.84
fpn-roper-roper.xml,M,68.13
neh-roper-roper.xml,M,63.36
fpn-andrews-andrews.xml,W,69.75
fpn-arp-arp.xml,W,67.62
fpn-ashby-ashby.xml,W,56.73
fpn-aughey-aughey.xml,W,63.32
fpn-avary-avary.xml,W,71.48
fpn-avirett-avirett.xml,W,62.45
fpn-bagby-bagby.xml,W,73.1
fpn-balch-balch.xml,W,77.77
fpn-battle-lee.xml,W,67.42
fpn-beard-beard.xml,W,59.6
fpn-betts-betts.xml,W,74.69
fpn-biggs-biggs.xml,W,78.72
fpn-blackford-blackford.xml,W,80.41
fpn-boggs-boggs.xml,W,54.46
fpn-bokum-bokum.xml,W,48.2
fpn-boyd1-boyd1.xml,W,34.9
fpn-boyd2-boyd2.xml,W,48.81
fpn-branch-branch.xml,W,55.92
fpn-brownd-dbrown.xml,W,43.84
fpn-bryan-bryan.xml,W,64.58
fpn-burge-lunt.xml,W,76.45
fpn-burwell-burwell.xml,W,41.71
fpn-caldwell-caldwell.xml,W,46.64
fpn-carroll-carroll.xml,W,69.55
fpn-chapter-chapter.xml,W,67.32
fpn-clay-clay.xml,W,54.46
fpn-clinkscales-clinksc.xml,W,66
fpn-collis-collis.xml,W,48
fpn-compton-compton.xml,W,64.68
fpn-copley-copley.xml,W,49.83
fpn-crumpton-crumpton.xml,W,70.97
fpn-curry-curry.xml,W,42.55
fpn-davisr-davis.xml,W,70.16
fpn-dawson-dawson.xml,W,73.51
fpn-desaussure-desaussure.xml,W,54.6
fpn-dimitry-dimitry.xml,W,57.74
fpn-dupre-dupre.xml,W,62.21
fpn-early-early.xml,W,37.85
fpn-edmondson-edmondson.xml,W,77.37
fpn-eggleston-eggleston.xml,W,52.16
fpn-fearn-fearn.xml,W,62.35
fpn-fee-fee.xml,W,57.44
fpn-felton-felton.xml,W,59.47
fpn-ford-ford.xml,W,63.77
fpn-gilman-gilman.xml,W,50.33
fpn-gordon-gordon.xml,W,47.05
fpn-green-green.xml,W,52.57
fpn-greenhow-greenhow.xml,W,41.06
fpn-grimball-grimball.xml,W,60.32
fpn-grimes-grimes.xml,W,60.69
fpn-hamill-hamill.xml,W,48.91
fpn-harland-harland.xml,W,57.84
fpn-harrison-harrison.xml,W,53.99
fpn-holden-holden.xml,W,63.73
fpn-houghton-houghton.xml,W,62.65
fpn-howard-howard.xml,W,53.58
fpn-hughest-hughes.xml,W,45.43
fpn-janney-janney.xml,W,34.97
fpn-jervey-jervey.xml,W,77.16
fpn-johnstond-johnston.xml,W,55.81
fpn-johnstonr-johnston.xml,W,61.29
fpn-jonescharles-jones.xml,W,82.88
fpn-kearney-kearney.xml,W,58.96
fpn-kell-kell.xml,W,60.48
fpn-leconteemma-leconte.xml,W,61.29
fpn-leconte-leconte.xml,W,77.77
fpn-leigh-leigh.xml,W,51.38
fpn-leon-leon.xml,W,77.06
fpn-lomax-lomax.xml,W,64.58
fpn-macon-macon.xml,W,56.42
fpn-mallard-mallard.xml,W,52.67
fpn-malone-malone.xml,W,37.01
fpn-maury-maury.xml,W,58.45
fpn-mckim-mckim.xml,W,56.02
fpn-mcleary-mcleary.xml,W,76.18
fpn-merrick-merrick.xml,W,56.83
fpn-mitchel-mitchel.xml,W,67.22
fpn-montgomery-montgom.xml,W,49.32
fpn-morganjames-morgan.xml,W,73.92
fpn-morgan-morgan.xml,W,53.68
fpn-mosby-mosby.xml,W,62.51
fpn-oconnor-oconnor.xml,W,55.2
fpn-olive-olive.xml,W,66.3
fpn-patton-patton.xml,W,66.91
fpn-paxton-paxton.xml,W,73.31
fpn-pickett-pickett.xml,W,63.66
fpn-plake-plake.xml,W,67.12
fpn-pringle-pringle.xml,W,61.74
fpn-pryor-pryor.xml,W,63.63
fpn-rankin-rankin.xml,W,74.02
fpn-ripleyflag-ripley.xml,W,69.65
fpn-ripley-ripley.xml,W,49.72
fpn-robson-robson.xml,W,20.59
fpn-royall-royall.xml,W,60.08
fpn-sawyer-sawyer.xml,W,59.26
fpn-saxon-saxon.xml,W,66.3
fpn-shepherd-shepherd.xml,W,46.24
fpn-sherrill-sherrill.xml,W,71.99
fpn-smedes-smedes.xml,W,72.19
fpn-stiles-stiles.xml,W,42.82
fpn-stone-stone.xml,W,63.32
fpn-taylor-taylor.xml,W,50.09
fpn-thomas-thomas.xml,W,64.48
fpn-velazquez-velazquez.xml,W,32.67
fpn-ward-ward.xml,W,66.57
fpn-watterson1-watterson1.xml,W,62.82
fpn-watterson2-watterson2.xml,W,59.57
fpn-whitaker-whitaker.xml,W,68.64
fpn-wise-wise.xml,W,58.45
fpn-wood-wood.xml,W,61.6
fpn-worsham-worsham.xml,W,71.99
fpn-wrightmarcus-wright.xml,W,62.92
fpn-wright-wright.xml,W,75.2
fpn-wyeth-wyeth.xml,W,51.96
fpn-young-young.xml,W,46.17
fpn-zettler-zettler.xml,W,64.07
southlit-chesnut-maryches.xml,W,78.38
southlit-pagesocial-page.xml,W,58.35
